Pubchem_CID,Inchikey,Targets ,Canonical_smiles,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PLN,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PNKP,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAA2,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAB1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKACA,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKACB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAG1,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAR1B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAR2A,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKAR2B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKCA,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKCB,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PRKCQ,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PYGL,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,PYGM,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,RIPK3,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,RNGTT,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,RPRD1A,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,RPRD1B,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,RPS27A,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SCAF8,P(OCC(N)C(O)=O)(O)(O)=O,
106,BZQFBWGGLXLEPQ-UHFFFAOYSA-N,SEPSECS,P(OCC(N)C(O)=O)(O)(O)=O,
